ID;district;year;gva;age;rent;skill;academic;wage;pop;tax;car;spec;area;emp;den;dist;market;tech;hosp;recr;east;waste
217;Ulm, Stadtkreis;2012;29,11;41,31;8,29;49,85;21,56;2822,91;993,99;1164,05;504,31;20,32;119;121;1016,81;8,83;115,15;87,96;12,7;27,9;west;2415,15
218;Alb-Donau-Kreis;2012;44,88;41,83;6,09;63,61;9,9;2545,79;137,73;471,22;590,87;41,06;1359;76;55,92;17,97;3,11;51,65;2,2;47,8;west;2612,23
219;Biberach;2012;59,99;41,52;6;65,95;9,64;2853,03;133,18;839,35;589,05;45,57;1410;105;74,47;31,12;2,39;51,34;4,9;41,1;west;1046,26
220;Bodenseekreis;2012;51,9;43,48;7,6;58,86;15,67;3010,22;309,63;533,71;582,25;37,77;665;117;175,94;22,66;7,76;69,27;3,6;35,2;west;103,62
221;Ravensburg;2012;31,44;41,86;6,6;63,28;11,29;2379,86;166,94;449,21;565,47;30,68;1632;154;94,36;19,38;4,87;56,1;6,5;40;west;1252,72
222;Sigmaringen;2012;39,32;42,37;5,36;63,97;6,89;2458,24;105,68;470,24;586,4;34,63;1204;67;55,65;38,67;1,44;41,66;5,3;46,6;west;1918,67
223;Ingolstadt;2012;72,71;41,82;8,57;54,66;18,39;3468,82;958,88;1887,64;664,21;39,98;133;116;872,18;4,72;184,78;88,43;9,9;40,4;west;2130,21
224;München, Landeshauptstadt;2012;22,96;41,42;12,13;39,79;27,33;3444,5;4468,32;1245,32;477,65;14,07;311;992;3189,71;8,35;382;93,39;8,2;25,9;west;765,04
225;Rosenheim, Stadt;2012;20,54;42,47;7,74;55,55;13,16;2502,82;1610,29;711,17;522,38;16,23;37;46;1243,24;6,55;189,81;98,69;10,4;14;west;1676,82
226;Altötting;2012;61,51;43,66;5,46;66,88;8,44;2967,76;187,09;494,32;580,99;43,33;569;60;105,45;10,19;10,35;82,27;5,4;31,1;west;4737,33
227;Berchtesgadener Land;2012;22,92;44,32;7,03;65,69;6,71;2278,42;121,29;380,73;564,64;20,99;840;52;61,9;15,51;3,99;89,52;5,6;31,8;west;1203,95
228;Bad Tölz-Wolfratshausen;2012;30,56;43,27;8,75;60,16;12,24;2358,14;108,64;304,39;586,27;27,7;1111;55;49,5;16,73;2,96;55,97;5,2;44,6;west;658,74
229;Dachau;2012;28,22;41,65;8,8;57,84;12,41;2389,86;245,21;370,39;541,46;24,06;579;54;93,26;10,16;9,18;64,98;3,4;47,9;west;1541,75
